PERIODO,MES,PAIS_ORIGEN,ARANCEL,TOTAL_CIF_ITEM_US$,CANTIDAD_MERCANCIA
2015,08,ALEMANIA,29051690,305,34
2015,08,ALEMANIA,08119090,33323,41
2015,08,ALEMANIA,28353900,13376,6
2015,08,ALEMANIA,84569000,58799,29
2015,08,ALEMANIA,29053200,36372,53
2015,08,ALEMANIA,84339000,128805,22
2015,08,ALEMANIA,87081090,143803,35
2015,08,ALEMANIA,29061300,34,36
2015,08,ALEMANIA,19054000,1625,52
2015,08,ALEMANIA,85049000,146775,5
2015,08,ALEMANIA,19051000,23201,33
2015,08,ALEMANIA,84828000,11232,41
2015,08,ALEMANIA,17023000,49,6
2015,08,ALEMANIA,85235200,19492,36
2015,08,ALEMANIA,84823000,110099,42
2015,08,ALEMANIA,22060000,22315,26
2015,08,ALEMANIA,29152900,15651,49
2015,08,ALEMANIA,85149000,13809,43
2015,08,ALEMANIA,28275900,298,1
2015,08,ALEMANIA,85369019,61027,14
2015,08,ALEMANIA,29054300,24,24
2015,08,ALEMANIA,29071500,113,42
2015,08,ALEMANIA,84743100,12069,5
2015,08,ALEMANIA,29181100,440,6
2015,08,ALEMANIA,29241910,526,52
2015,08,ALEMANIA,29399990,138,19
2015,08,ALEMANIA,90184900,140972,46
2015,08,ALEMANIA,85015391,24237,16
2015,08,ALEMANIA,86079910,591,54
2015,08,ALEMANIA,29362900,1741,39
2015,08,ALEMANIA,29212200,21793,13
2015,08,ALEMANIA,29161300,37632,16800
2015,08,ALEMANIA,84314910,19258,52
2015,08,ALEMANIA,84818091,40403,7
2015,08,ALEMANIA,85369090,102863,4
2015,08,ALEMANIA,21021000,904,49
2015,08,ALEMANIA,90183200,58112,2
2015,08,ALEMANIA,84734000,97462,49
2015,08,ALEMANIA,28273500,33,22
2015,08,ALEMANIA,29122100,18,12
2015,08,ALEMANIA,20091900,49,6
2015,08,ALEMANIA,85122030,85985,9
2015,08,ALEMANIA,84833010,80249,1
2015,08,ALEMANIA,85071090,16655,61
2015,08,ALEMANIA,09041200,268,45
2015,08,ALEMANIA,87089400,25731,42
2015,08,ALEMANIA,87087010,58261,47
2015,08,ALEMANIA,85169000,13878,8
2015,08,ALEMANIA,87088093,41649,36
2015,08,ALEMANIA,84529000,2064,16
2015,08,ALEMANIA,87088092,18334,61
2015,08,ALEMANIA,85413000,14334,61
2015,08,ALEMANIA,85016200,1739,45
2015,08,ALEMANIA,29392000,13338,51
2015,08,ALEMANIA,29211190,104,7
2015,08,ALEMANIA,84672920,21114,55
2015,08,ALEMANIA,85122090,78650,29
2015,08,ALEMANIA,85441100,426,37
2015,08,ALEMANIA,27122000,10377,13
2015,08,ALEMANIA,29362300,528,7
2015,08,ALEMANIA,00160000,13276,49
2015,08,ALEMANIA,87039090,58533,12
2015,08,ALEMANIA,90069100,369,0
2015,08,ALEMANIA,85189000,1372,26
2015,08,ALEMANIA,29339100,828,3
2015,08,ALEMANIA,84349000,54706,33
2015,08,ALEMANIA,85451900,32653,46
2015,08,ALEMANIA,19019019,448,51
2015,08,ALEMANIA,29329930,636,51
2015,08,ALEMANIA,29147090,20,1
2015,08,ALEMANIA,29152400,621,9
2015,08,ALEMANIA,84622900,38618,24
2015,08,ALEMANIA,20087090,83,6
2015,08,ALEMANIA,29051999,19846,6
2015,08,ALEMANIA,84672220,435,11
2015,08,ALEMANIA,87089390,40744,26
2015,08,ALEMANIA,85322200,1313,29
2015,08,ALEMANIA,84719010,1132,35
2015,08,ALEMANIA,00030000,1037,11
2015,08,ALEMANIA,84379000,19223,37
2015,08,ALEMANIA,28529000,855,22
2015,08,ALEMANIA,19053200,52007,1
2015,08,ALEMANIA,87082930,17700,21
2015,08,ALEMANIA,87032420,23705,58
2015,08,ALEMANIA,85165000,16187,52
2015,08,ALEMANIA,90031920,1180,53
2015,08,ALEMANIA,90041010,904,15
2015,08,ALEMANIA,84399900,144773,18
2015,08,ALEMANIA,29163110,5,61
2015,08,ALEMANIA,29215900,412,3
2015,08,ALEMANIA,29051100,23504,9
2015,08,ALEMANIA,84821010,76677,8
2015,08,ALEMANIA,90022000,774,3
2015,08,ALEMANIA,84335200,15512,56
2015,08,ALEMANIA,22029090,17889,52
2015,08,ALEMANIA,84771000,1008,14
2015,08,ALEMANIA,84774000,70315,4
2015,08,ALEMANIA,29096000,35,9
2015,08,ALEMANIA,85441900,55,23
2015,08,ALEMANIA,28342900,324,8
2015,08,ALEMANIA,85167100,148,1
2015,08,ALEMANIA,85013100,34712,7
2015,08,ALEMANIA,28273930,983,51
2015,08,ALEMANIA,29062900,124,34
2015,08,ALEMANIA,85392100,74821,39
2015,08,ALEMANIA,85311090,2047,27
2015,08,ALEMANIA,30045020,83535,57
2015,08,ALEMANIA,28399000,73,35
2015,08,ALEMANIA,29011000,22258,6
2015,08,ALEMANIA,84501132,22965,7
2015,08,ALEMANIA,84829900,24862,53
2015,08,ALEMANIA,12099182,603,12
2015,08,ALEMANIA,84841000,109590,27
2015,08,ALEMANIA,85030090,162500,37
2015,08,ALEMANIA,28530090,1856,43
2015,08,ALEMANIA,90065900,51384,44
2015,08,ALEMANIA,85111000,37608,4
2015,08,ALEMANIA,28252000,48,0
2015,08,ALEMANIA,29121900,2116,5
2015,08,ALEMANIA,85361010,20301,48
2015,08,ALEMANIA,29021100,189,14
2015,08,ALEMANIA,20071000,518,27
2015,08,ALEMANIA,21012010,11423,61
2015,08,ALEMANIA,87088094,26203,35
2015,08,ALEMANIA,29141200,50,36
2015,08,ALEMANIA,87084090,118117,4
2015,08,ALEMANIA,25174100,1014,44
2015,08,ALEMANIA,85171200,298,35
2015,08,ALEMANIA,84622100,61677,33
2015,08,ALEMANIA,84879090,101424,47
2015,08,ALEMANIA,27101930,20039,59
2015,08,ALEMANIA,29029090,110,56
2015,08,ALEMANIA,28092090,1398,58
2015,08,ALEMANIA,84411090,798,32
2015,08,ALEMANIA,90049080,733,1
2015,08,ALEMANIA,84682000,407,37
2015,08,ALEMANIA,29239000,827,33
2015,08,ALEMANIA,29336100,75099,60000
2015,08,ALEMANIA,29394200,20540,58
2015,08,ALEMANIA,29181600,61894,35
2015,08,ALEMANIA,85394900,33749,61
2015,08,ALEMANIA,04022117,218,12
2015,08,ALEMANIA,29089900,88,27
2015,08,ALEMANIA,87150010,39,12
2015,08,ALEMANIA,30049020,144040,48
2015,08,ALEMANIA,28432100,38879,43
2015,08,ALEMANIA,21050010,46897,7
2015,08,ALEMANIA,29094400,425,59
2015,08,ALEMANIA,21039010,52253,2
2015,08,ALEMANIA,85334019,1530,51
2015,08,ALEMANIA,30051010,18616,61
2015,08,ALEMANIA,21033000,19087,16
2015,08,ALEMANIA,84329000,33841,53
2015,08,ALEMANIA,84669300,88692,47
2015,08,ALEMANIA,85269200,28579,18
2015,08,ALEMANIA,85171800,39018,2
2015,08,ALEMANIA,85362000,139479,59
2015,08,ALEMANIA,85414000,81003,45
2015,08,ALEMANIA,90019000,275,12
2015,08,ALEMANIA,84399100,155739,9
2015,08,ALEMANIA,85177000,20754,5
2015,08,ALEMANIA,28364000,562,26
2015,08,ALEMANIA,29042040,13,25
2015,08,ALEMANIA,85419000,1010,45
2015,08,ALEMANIA,28251000,32415,3
2015,08,ALEMANIA,29212100,57,43
2015,08,ALEMANIA,85469000,22779,8
2015,08,ALEMANIA,87089313,12389,31
2015,08,ALEMANIA,28182000,10614,16
2015,08,ALEMANIA,29189990,23275,6
2015,08,ALEMANIA,84812020,96496,32
2015,08,ALEMANIA,28170000,15805,8
2015,08,ALEMANIA,85184000,31628,6
2015,08,ALEMANIA,28334000,1730,33
2015,08,ALEMANIA,12129900,953,9
2015,08,ALEMANIA,28351000,841,13
2015,08,ALEMANIA,11081200,20353,24
2015,08,ALEMANIA,85332900,93864,3
2015,08,ALEMANIA,30041010,1600,26
2015,08,ALEMANIA,84733000,37436,14
2015,08,ALEMANIA,15155000,150,28
2015,08,ALEMANIA,87088099,18492,34
2015,08,ALEMANIA,29124990,600,0
2015,08,ALEMANIA,85332100,1069,44
2015,08,ALEMANIA,87100000,123290,31
2015,08,ALEMANIA,84717090,2004,21
2015,08,ALEMANIA,85394100,13974,7
2015,08,ALEMANIA,90173000,16513,3
2015,08,ALEMANIA,84879010,37823,44
2015,08,ALEMANIA,84314390,95322,6
2015,08,ALEMANIA,85158000,73645,25
2015,08,ALEMANIA,09102000,955,53
2015,08,ALEMANIA,29171900,31,28
2015,08,ALEMANIA,86079990,48824,33
2015,08,ALEMANIA,29054500,19012,5
2015,08,ALEMANIA,85016100,24304,5
2015,08,ALEMANIA,17021100,594,41
2015,08,ALEMANIA,85162900,30752,24
2015,08,ALEMANIA,00260000,266,21
2015,08,ALEMANIA,87169010,1683,45
2015,08,ALEMANIA,87088010,206,55
2015,08,ALEMANIA,29333999,182,15
2015,08,ALEMANIA,09096100,1284,28
2015,08,ALEMANIA,29155000,47680,32000
2015,08,ALEMANIA,84589900,50464,22
2015,08,ALEMANIA,19042000,35177,35
2015,08,ALEMANIA,18063210,35890,61
2015,08,ALEMANIA,85164010,52523,23
2015,08,ALEMANIA,85452000,40994,52
2015,08,ALEMANIA,29242990,12,6
2015,08,ALEMANIA,17029010,40209,56
2015,08,ALEMANIA,85353010,30417,55
2015,08,ALEMANIA,21061010,12625,42
2015,08,ALEMANIA,84323000,62261,7
2015,08,ALEMANIA,87149910,254,12
2015,08,ALEMANIA,29054900,37869,31
2015,08,ALEMANIA,85238000,11972,43
2015,08,ALEMANIA,28276020,38,49
2015,08,ALEMANIA,29182100,64524,32
2015,08,ALEMANIA,29126000,80,49
2015,08,ALEMANIA,85081100,81074,8
2015,08,ALEMANIA,28151200,11595,23
2015,08,ALEMANIA,19053100,116761,4
2015,08,ALEMANIA,87169040,430,46
2015,08,ALEMANIA,28311000,33792,19200
2015,08,ALEMANIA,28112200,32529,57
2015,08,ALEMANIA,22071000,31607,38
2015,08,ALEMANIA,27101999,127858,2
2015,08,ALEMANIA,85331000,1421,8
2015,08,ALEMANIA,07129040,664,61
2015,08,ALEMANIA,28092010,2106,41
2015,08,ALEMANIA,21041090,1236,56
2015,08,ALEMANIA,29130000,74,59
2015,08,ALEMANIA,30051030,302,15
2015,08,ALEMANIA,85423100,76810,48
2015,08,ALEMANIA,85030010,11199,55
2015,08,ALEMANIA,29224900,22674,61
2015,08,ALEMANIA,29241990,70,26
2015,08,ALEMANIA,84831010,27133,51
2015,08,ALEMANIA,84719090,1473,51
2015,08,ALEMANIA,29145000,657,9
2015,08,ALEMANIA,29270000,197,19
2015,08,ALEMANIA,85011000,69190,35
2015,08,ALEMANIA,84321000,51546,6
2015,08,ALEMANIA,27101210,561,8
2015,08,ALEMANIA,84825000,79360,34
2015,08,ALEMANIA,12099124,102,7
2015,08,ALEMANIA,87082960,16806,38
2015,08,ALEMANIA,29152100,640,2
2015,08,ALEMANIA,20079939,147,55
2015,08,ALEMANIA,28091000,47,23
2015,08,ALEMANIA,29042090,60,37
2015,08,ALEMANIA,84714190,19432,24
2015,08,ALEMANIA,85443000,32396,5
2015,08,ALEMANIA,29350000,561,27
2015,08,ALEMANIA,29163900,92,39
2015,08,ALEMANIA,28401900,1492,37
2015,08,ALEMANIA,17025000,42,26
2015,08,ALEMANIA,29171100,1297,5
2015,08,ALEMANIA,29091990,44628,47
2015,08,ALEMANIA,85098000,23430,4
2015,08,ALEMANIA,19052000,98,54
2015,08,ALEMANIA,84678100,135645,6
2015,08,ANTILLAS NEERLA,27101961,125809,32
2015,08,ARGENTINA,10079090,79464,3
2015,08,ARGENTINA,85232919,515,4
2015,08,ARGENTINA,20091900,39306,28
2015,08,ARGENTINA,84779000,19745,22
2015,08,ARGENTINA,07133990,40132,56000
2015,08,ARGENTINA,29379000,84,46
2015,08,ARGENTINA,27149000,105056,4
2015,08,ARGENTINA,22019000,144,4
2015,08,ARGENTINA,84381010,36785,46
2015,08,ARGENTINA,85362000,36546,23
2015,08,ARGENTINA,10064000,87827,28
2015,08,ARGENTINA,85072000,2145,56
2015,08,ARGENTINA,11061000,156467,36
2015,08,ARGENTINA,30029090,1424,57
2015,08,ARGENTINA,29054500,77429,44
2015,08,ARGENTINA,29141200,36282,25
2015,08,ARGENTINA,84379000,18150,33
2015,08,ARGENTINA,85049000,24676,21
2015,08,ARGENTINA,18061090,58135,5
2015,08,ARGENTINA,85444999,68128,36
2015,08,ARGENTINA,84718010,791,29
2015,08,ARGENTINA,23099070,42582,4
2015,08,ARGENTINA,18062090,635,59
2015,08,ARGENTINA,87081010,24422,34
2015,08,ARGENTINA,07133110,240,1
2015,08,ARGENTINA,16041940,15504,4
2015,08,ARGENTINA,85176290,375,24
2015,08,ARGENTINA,27079100,39544,8
2015,08,ARGENTINA,22060000,26903,1
2015,08,ARGENTINA,20098990,804,29
2015,08,ARGENTINA,85451900,16896,45
2015,08,ARGENTINA,27101210,52663,9
2015,08,ARGENTINA,85238000,1302,2
2015,08,ARGENTINA,85153910,84368,27
2015,08,ARGENTINA,30039020,26133,3
2015,08,ARGENTINA,20081190,39632,2
2015,08,ARGENTINA,87082960,641,58
2015,08,ARGENTINA,15099090,57974,42
2015,08,ARGENTINA,85014000,1903,62
2015,08,ARGENTINA,85163200,57495,19
2015,08,ARGENTINA,84314990,47997,7
2015,08,ARGENTINA,84798990,95285,45
2015,08,ARGENTINA,84679900,274,41
2015,08,ARGENTINA,15091019,101500,11
2015,08,ARGENTINA,27131100,12551,84000
2015,08,ARGENTINA,25061000,11251,45
2015,08,ARGENTINA,85012000,283,45
2015,08,ARGENTINA,04069090,109278,58
2015,08,ARGENTINA,85043100,1005,49
2015,08,ARGENTINA,84439100,771,1
2015,08,ARGENTINA,84733000,14202,41
2015,08,ARGENTINA,20089700,17248,54
2015,08,ARGENTINA,08132090,35903,28
